分拣中心,日期,货量
SC1,2023-12-1,48519.70601
SC1,2023-12-2,50638.13993
SC1,2023-12-3,52248.0377
SC1,2023-12-4,53485.50533
SC1,2023-12-5,54450.28063
SC1,2023-12-6,55215.45119
SC1,2023-12-7,55834.57561
SC1,2023-12-8,56346.90187
SC1,2023-12-9,56781.19131
SC1,2023-12-10,57158.52077
SC1,2023-12-11,57494.33598
SC1,2023-12-12,57799.95623
SC1,2023-12-13,58083.67707
SC1,2023-12-14,58351.57823
SC1,2023-12-15,58608.11575
SC1,2023-12-16,58856.55581
SC1,2023-12-17,59099.29275
SC1,2023-12-18,59338.08196
SC1,2023-12-19,59574.21067
SC1,2023-12-20,59808.62302
SC1,2023-12-21,60042.01177
SC1,2023-12-22,60274.88546
SC1,2023-12-23,60507.61762
SC1,2023-12-24,60740.48288
SC1,2023-12-25,60973.68341
SC1,2023-12-26,61207.36822
SC1,2023-12-27,61441.64745
SC1,2023-12-28,61676.60271
SC1,2023-12-29,61912.29471
SC1,2023-12-30,62148.76889
SC3,2023-12-1,12613.64333
SC3,2023-12-2,12552.60631
SC3,2023-12-3,12498.67242
SC3,2023-12-4,12440.27979
SC3,2023-12-5,12385.38989
SC3,2023-12-6,12328.51716
SC3,2023-12-7,12273.43795
SC3,2023-12-8,12217.54929
SC3,2023-12-9,12162.6421
SC3,2023-12-10,12107.48093
SC3,2023-12-11,12052.91482
SC3,2023-12-12,11998.35708
SC3,2023-12-13,11944.20991
SC3,2023-12-14,11890.19441
SC3,2023-12-15,11836.5008
SC3,2023-12-16,11782.9962
SC3,2023-12-17,11729.77028
SC3,2023-12-18,11676.75943
SC3,2023-12-19,11624.00562
SC3,2023-12-20,11571.47811
SC3,2023-12-21,11519.19625
SC3,2023-12-22,11467.14491
SC3,2023-12-23,11415.3327
SC3,2023-12-24,11363.75188
SC3,2023-12-25,11312.406
SC3,2023-12-26,11261.29084
SC3,2023-12-27,11210.40753
SC3,2023-12-28,11159.75351
SC3,2023-12-29,11109.3288
SC3,2023-12-30,11059.13164
SC4,2023-12-1,22845.15709
SC4,2023-12-2,23895.79616
SC4,2023-12-3,24636.64608
SC4,2023-12-4,25165.43526
SC4,2023-12-5,25549.07972
SC4,2023-12-6,25833.39786
SC4,2023-12-7,26049.76227
SC4,2023-12-8,26219.65429
SC4,2023-12-9,26357.78263
SC4,2023-12-10,26474.21867
