分拣中心,日期,班次,正式工人数,临时工人数
SC60,1,0:00-8:00,40,5
SC60,1,5:00-13:00,46,60
SC60,1,8:00-16:00,15,18
SC60,1,12:00-20:00,60,28
SC60,1,14:00-22:00,37,12
SC60,1,16:00-24:00,2,30
SC60,2,0:00-8:00,32,58
SC60,2,5:00-13:00,7,50
SC60,2,8:00-16:00,39,44
SC60,2,12:00-20:00,7,58
SC60,2,14:00-22:00,24,49
SC60,2,16:00-24:00,15,51
SC60,3,0:00-8:00,9,57
SC60,3,5:00-13:00,9,23
SC60,3,8:00-16:00,17,49
SC60,3,12:00-20:00,54,33
SC60,3,14:00-22:00,23,13
SC60,3,16:00-24:00,54,1
SC60,4,0:00-8:00,40,43
SC60,4,5:00-13:00,36,9
SC60,4,8:00-16:00,49,3
SC60,4,12:00-20:00,42,19
SC60,4,14:00-22:00,2,48
SC60,4,16:00-24:00,30,19
SC60,5,0:00-8:00,0,40
SC60,5,5:00-13:00,28,54
SC60,5,8:00-16:00,48,57
SC60,5,12:00-20:00,43,52
SC60,5,14:00-22:00,3,2
SC60,5,16:00-24:00,10,5
SC60,6,0:00-8:00,8,52
SC60,6,5:00-13:00,10,14
SC60,6,8:00-16:00,37,35
SC60,6,12:00-20:00,49,44
SC60,6,14:00-22:00,7,44
SC60,6,16:00-24:00,56,54
SC60,7,0:00-8:00,56,27
SC60,7,5:00-13:00,3,41
SC60,7,8:00-16:00,48,20
SC60,7,12:00-20:00,21,18
SC60,7,14:00-22:00,7,46
SC60,7,16:00-24:00,47,17
SC60,8,0:00-8:00,48,25
SC60,8,5:00-13:00,46,20
SC60,8,8:00-16:00,17,57
SC60,8,12:00-20:00,55,18
SC60,8,14:00-22:00,20,10
SC60,8,16:00-24:00,2,41
SC60,9,0:00-8:00,33,48
SC60,9,5:00-13:00,38,32
SC60,9,8:00-16:00,13,54
SC60,9,12:00-20:00,51,39
SC60,9,14:00-22:00,0,56
SC60,9,16:00-24:00,13,54
SC60,10,0:00-8:00,21,19
SC60,10,5:00-13:00,26,30
SC60,10,8:00-16:00,55,31
SC60,10,12:00-20:00,60,1
SC60,10,14:00-22:00,51,37
SC60,10,16:00-24:00,27,36
SC60,11,0:00-8:00,53,16
SC60,11,5:00-13:00,49,26
SC60,11,8:00-16:00,18,31
SC60,11,12:00-20:00,40,18
SC60,11,14:00-22:00,15,26
SC60,11,16:00-24:00,27,47
SC60,12,0:00-8:00,11,16
SC60,12,5:00-13:00,26,43
SC60,12,8:00-16:00,23,13
SC60,12,12:00-20:00,18,49
SC60,12,14:00-22:00,42,37
SC60,12,16:00-24:00,43,2
SC60,13,0:00-8:00,48,59
SC60,13,5:00-13:00,22,48
SC60,13,8:00-16:00,43,5
SC60,13,12:00-20:00,17,58
SC60,13,14:00-22:00,24,32
SC60,13,16:00-24:00,8,50
SC60,14,0:00-8:00,7,20
SC60,14,5:00-13:00,21,58
SC60,14,8:00-16:00,58,22
SC60,14,12:00-20:00,54,59
SC60,14,14:00-22:00,17,23
SC60,14,16:00-24:00,42,19
SC60,15,0:00-8:00,3,27
SC60,15,5:00-13:00,19,59
SC60,15,8:00-16:00,7,35
SC60,15,12:00-20:00,46,56
SC60,15,14:00-22:00,50,8
SC60,15,16:00-24:00,5,53
SC60,16,0:00-8:00,29,41
SC60,16,5:00-13:00,42,56
SC60,16,8:00-16:00,49,13
SC60,16,12:00-20:00,0,34
SC60,16,14:00-22:00,32,28
SC60,16,16:00-24:00,53,9
SC60,17,0:00-8:00,37,20
SC60,17,5:00-13:00,58,1
SC60,17,8:00-16:00,30,19
SC60,17,12:00-20:00,34,51
SC60,17,14:00-22:00,29,7
SC60,17,16:00-24:00,4,10
SC60,18,0:00-8:00,40,13
SC60,18,5:00-13:00,42,22
SC60,18,8:00-16:00,0,46
SC60,18,12:00-20:00,36,30
SC60,18,14:00-22:00,17,17
SC60,18,16:00-24:00,19,51
SC60,19,0:00-8:00,13,55
SC60,19,5:00-13:00,55,54
SC60,19,8:00-16:00,15,26
SC60,19,12:00-20:00,5,51
SC60,19,14:00-22:00,13,58
SC60,19,16:00-24:00,12,8
SC60,20,0:00-8:00,50,45
SC60,20,5:00-13:00,1,55
SC60,20,8:00-16:00,25,21
SC60,20,12:00-20:00,45,19
SC60,20,14:00-22:00,38,5
SC60,20,16:00-24:00,21,43
SC60,21,0:00-8:00,56,4
SC60,21,5:00-13:00,4,9
SC60,21,8:00-16:00,33,38
SC60,21,12:00-20:00,10,54
SC60,21,14:00-22:00,40,26
SC60,21,16:00-24:00,12,43
SC60,22,0:00-8:00,38,18
SC60,22,5:00-13:00,3,43
SC60,22,8:00-16:00,22,46
SC60,22,12:00-20:00,60,22
SC60,22,14:00-22:00,41,32
SC60,22,16:00-24:00,49,24
SC60,23,0:00-8:00,8,6
SC60,23,5:00-13:00,15,28
SC60,23,8:00-16:00,28,22
SC60,23,12:00-20:00,36,0
SC60,23,14:00-22:00,24,25
SC60,23,16:00-24:00,9,51
SC60,24,0:00-8:00,45,41
SC60,24,5:00-13:00,43,58
SC60,24,8:00-16:00,54,43
SC60,24,12:00-20:00,34,49
SC60,24,14:00-22:00,30,41
SC60,24,16:00-24:00,2,60
SC60,25,0:00-8:00,47,50
SC60,25,5:00-13:00,31,44
SC60,25,8:00-16:00,45,37
SC60,25,12:00-20:00,25,52
SC60,25,14:00-22:00,20,47
SC60,25,16:00-24:00,5,54
SC60,26,0:00-8:00,55,41
SC60,26,5:00-13:00,52,4
SC60,26,8:00-16:00,11,17
SC60,26,12:00-20:00,53,5
SC60,26,14:00-22:00,50,60
SC60,26,16:00-24:00,35,9
SC60,27,0:00-8:00,36,12
SC60,27,5:00-13:00,52,38
SC60,27,8:00-16:00,9,58
SC60,27,12:00-20:00,5,44
SC60,27,14:00-22:00,7,56
SC60,27,16:00-24:00,30,5
SC60,28,0:00-8:00,1,34
SC60,28,5:00-13:00,54,33
SC60,28,8:00-16:00,57,22
SC60,28,12:00-20:00,7,48
SC60,28,14:00-22:00,18,13
SC60,28,16:00-24:00,6,38
SC60,29,0:00-8:00,48,42
SC60,29,5:00-13:00,20,52
SC60,29,8:00-16:00,56,54
